ID,Nom,Renvoi dans lettre no
#10539,"Scholderer, Adolphe",1875_15
#10540,"Scholderer, Emil",1875_15
#10542,"Scholderer, Ida",1875_15
#10543,"Scholderer, Luise Philippine Conradine",1875_15
#6708,"Scholderer, Otto",1875_15
#1323,"Schopenhauer, Arthur",1875_15
#286,"Thoma, Hans",1875_15
#1238,"Wagner, Richard",1875_15
#11949,"Dubourg, Hélène",1875_16
#11950,"Dubourg, Jean-Theodore",1875_16
#10351,"Dubourg, Victoria",1875_16
#10357,"Edwards, Edwin",1875_16
#10358,"Edwards, Ruth",1875_16
#1127,"Fantin-Latour, Henri",1875_16
#10543,"Scholderer, Luise Philippine Conradine",1875_16
#6708,"Scholderer, Otto",1875_16
#1427,"Bach, Johann Sebastian",1875_17
#2109,Böcklin,1875_17
#10336,"Deschamps, Charles W.",1875_17
#11949,"Dubourg, Hélène",1875_17
#11950,"Dubourg, Jean-Theodore",1875_17
#10351,"Dubourg, Victoria",1875_17
#10357,"Edwards, Edwin",1875_17
#10358,"Edwards, Ruth",1875_17
#1127,"Fantin-Latour, Henri",1875_17
#10469,"Meyerbeer, Giacomo",1875_17
#10482,"Morrison, Madame",1875_17
#10543,"Scholderer, Luise Philippine Conradine",1875_17
#6708,"Scholderer, Otto",1875_17
#1323,"Schopenhauer, Arthur",1875_17
#286,"Thoma, Hans",1875_17
#1986,"Berlioz, Hector",1875_18
#10351,"Dubourg, Victoria",1875_18
#10357,"Edwards, Edwin",1875_18
#10358,"Edwards, Ruth",1875_18
#1127,"Fantin-Latour, Henri",1875_18
#10543,"Scholderer, Luise Philippine Conradine",1875_18
#6708,"Scholderer, Otto",1875_18
#2314,"Balzac, Honoré de",1876_01
#1986,"Berlioz, Hector",1876_01
#10336,"Deschamps, Charles W.",1876_01
#11950,"Dubourg, Jean-Theodore",1876_01
#10351,"Dubourg, Victoria",1876_01
#10357,"Edwards, Edwin",1876_01
#10358,"Edwards, Ruth",1876_01
#10360,"Esch, Mlle",1876_01
#1127,"Fantin-Latour, Henri",1876_01
#10481,"Morrison, famille",1876_01
#10543,"Scholderer, Luise Philippine Conradine",1876_01
#6708,"Scholderer, Otto",1876_01
#1986,"Berlioz, Hector",1876_02
#10336,"Deschamps, Charles W.",1876_02
#11950,"Dubourg, Jean-Theodore",1876_02
#10351,"Dubourg, Victoria",1876_02
#10357,"Edwards, Edwin",1876_02
#10358,"Edwards, Ruth",1876_02
#1127,"Fantin-Latour, Henri",1876_02
#1086,"Manet, Edouard",1876_02
#10543,"Scholderer, Luise Philippine Conradine",1876_02
#6708,"Scholderer, Otto",1876_02
#1238,"Wagner, Richard",1876_02
#2480,"Zola, Emile",1876_02
#1986,"Berlioz, Hector",1876_03
#463,"Degas, Edgar",1876_03
#11949,"Dubourg, Hélène",1876_03
#10351,"Dubourg, Victoria",1876_03
#10357,"Edwards, Edwin",1876_03
#10358,"Edwards, Ruth",1876_03
#1127,"Fantin-Latour, Henri",1876_03
#1086,"Manet, Edouard",1876_03
#1063,"Millet, Jean-François",1876_03
#10482,"Morrison, Madame",1876_03
#10543,"Scholderer, Luise Philippine Conradine",1876_03
#6708,"Scholderer, Otto",1876_03
#10548,"Sickert, Oswald Adalbert",1876_03
#1079,"Whistler, James Abbott MacNeill",1876_03
#10583,"White, Mrs.",1876_03
#163,"Delacroix, Eugène",1876_04
#10351,"Dubourg, Victoria",1876_04
#10358,"Edwards, Ruth",1876_04
#1127,"Fantin-Latour, Henri",1876_04
#1086,"Manet, Edouard",1876_04
#8314,"Rubens, Pierre-Paul",1876_04
#10543,"Scholderer, Luise Philippine Conradine",1876_04
#6708,"Scholderer, Otto",1876_04
#463,"Degas, Edgar",1876_05
#10336,"Deschamps, Charles W.",1876_05
#10351,"Dubourg, Victoria",1876_05
#10357,"Edwards, Edwin",1876_05
#10358,"Edwards, Ruth",1876_05
#1127,"Fantin-Latour, Henri",1876_05
#10543,"Scholderer, Luise Philippine Conradine",1876_05
#6708,"Scholderer, Otto",1876_05
#1079,"Whistler, James Abbott MacNeill",1876_05
#10336,"Deschamps, Charles W.",1876_06
#10351,"Dubourg, Victoria",1876_06
#10357,"Edwards, Edwin",1876_06
#10358,"Edwards, Ruth",1876_06
#10360,"Esch, Mlle",1876_06
#1127,"Fantin-Latour, Henri",1876_06
#1249,"Lhermitte, Léon",1876_06
#10543,"Scholderer, Luise Philippine Conradine",1876_06
#6708,"Scholderer, Otto",1876_06
#1238,"Wagner, Richard",1876_06
#11949,"Dubourg, Hélène",1876_07
#11950,"Dubourg, Jean-Theodore",1876_07
#10351,"Dubourg, Victoria",1876_07
#10357,"Edwards, Edwin",1876_07
#10358,"Edwards, Ruth",1876_07
#10360,"Esch, Mlle",1876_07
#1127,"Fantin-Latour, Henri",1876_07
#1267,"Legros, Alphonse",1876_07
#1249,"Lhermitte, Léon",1876_07
#10449,"Maître, Edmond",1876_07
#1086,"Manet, Edouard",1876_07
#10543,"Scholderer, Luise Philippine Conradine",1876_07
#6708,"Scholderer, Otto",1876_07
#1986,"Berlioz, Hector",1876_08
#10349,"Dubourg, Charlotte",1876_08
#11949,"Dubourg, Hélène",1876_08
#11950,"Dubourg, Jean-Theodore",1876_08
#10351,"Dubourg, Victoria",1876_08
#1232,"Durand-Ruel, Paul",1876_08
#10358,"Edwards, Ruth",1876_08
#1127,"Fantin-Latour, Henri",1876_08
#1086,"Manet, Edouard",1876_08
#1078,"Monet, Claude",1876_08
#1072,"Pissarro, Camille",1876_08
#10543,"Scholderer, Luise Philippine Conradine",1876_08
#6708,"Scholderer, Otto",1876_08
#10351,"Dubourg, Victoria",1876_09
#10357,"Edwards, Edwin",1876_09
#1127,"Fantin-Latour, Henri",1876_09
#10543,"Scholderer, Luise Philippine Conradine",1876_09
#6708,"Scholderer, Otto",1876_09
#10351,"Dubourg, Victoria",1876_10
#10357,"Edwards, Edwin",1876_10
#10358,"Edwards, Ruth",1876_10
#1127,"Fantin-Latour, Henri",1876_10
#10543,"Scholderer, Luise Philippine Conradine",1876_10
#6708,"Scholderer, Otto",1876_10
#10351,"Dubourg, Victoria",1876_11
#10357,"Edwards, Edwin",1876_11
#10358,"Edwards, Ruth",1876_11
#10360,"Esch, Mlle",1876_11
#1127,"Fantin-Latour, Henri",1876_11
#10426,"Keene, Charles Samuel",1876_11
#10543,"Scholderer, Luise Philippine Conradine",1876_11
#6708,"Scholderer, Otto",1876_11
#1079,"Whistler, James Abbott MacNeill",1876_11
#10349,"Dubourg, Charlotte",1876_12
#11949,"Dubourg, Hélène",1876_12
#11950,"Dubourg, Jean-Theodore",1876_12
#10351,"Dubourg, Victoria",1876_12
#10358,"Edwards, Ruth",1876_12
#1127,"Fantin-Latour, Henri",1876_12
#10543,"Scholderer, Luise Philippine Conradine",1876_12
#6708,"Scholderer, Otto",1876_12
#4546,"Cornelius, Peter von",1876_13
#1127,"Fantin-Latour, Henri",1876_13
#10432,"Lascoux, Antoine",1876_13
#10449,"Maître, Edmond",1876_13
#10543,"Scholderer, Luise Philippine Conradine",1876_13
#6708,"Scholderer, Otto",1876_13
#1238,"Wagner, Richard",1876_13
#4546,"Cornelius, Peter von",1876_14
#10351,"Dubourg, Victoria",1876_14
#10357,"Edwards, Edwin",1876_14
#10358,"Edwards, Ruth",1876_14
#1127,"Fantin-Latour, Henri",1876_14
#1080,"Lenbach, Franz Seraph von",1876_14
#8316,Rembrandt,1876_14
#10543,"Scholderer, Luise Philippine Conradine",1876_14
#6708,"Scholderer, Otto",1876_14
#286,"Thoma, Hans",1876_14
#1238,"Wagner, Richard",1876_14
#4546,"Cornelius, Peter von",1876_15
#463,"Degas, Edgar",1876_15
#10351,"Dubourg, Victoria",1876_15
#10357,"Edwards, Edwin",1876_15
#1127,"Fantin-Latour, Henri",1876_15
#9230,Frédéric II de Prusse,1876_15
#1196,"Leibl, Wilhelm",1876_15
#1080,"Lenbach, Franz Seraph von",1876_15
#1086,"Manet, Edouard",1876_15
#6852,Mendelssohn,1876_15
#1171,"Menzel, Adolph",1876_15
#10543,"Scholderer, Luise Philippine Conradine",1876_15
#6708,"Scholderer, Otto",1876_15
#1238,"Wagner, Richard",1876_15
#10351,"Dubourg, Victoria",1876_16
#10357,"Edwards, Edwin",1876_16
#10358,"Edwards, Ruth",1876_16
#1127,"Fantin-Latour, Henri",1876_16
#10543,"Scholderer, Luise Philippine Conradine",1876_16
#6708,"Scholderer, Otto",1876_16
#1238,"Wagner, Richard",1876_16
#10336,"Deschamps, Charles W.",1876_17
#10351,"Dubourg, Victoria",1876_17
#10357,"Edwards, Edwin",1876_17
#10358,"Edwards, Ruth",1876_17
#1127,"Fantin-Latour, Henri",1876_17
#10477,"Moretto da Brescia,",1876_17
#10479,"Moroni, Giovanni Battista",1876_17
#10543,"Scholderer, Luise Philippine Conradine",1876_17
#6708,"Scholderer, Otto",1876_17
#10583,"White, Mrs.",1876_17
#10357,"Edwards, Edwin",1876_18
#10358,"Edwards, Ruth",1876_18
#1127,"Fantin-Latour, Henri",1876_18
#6708,"Scholderer, Otto",1876_18
#6243,"Cazin, Jean Charles",1877_01
#10336,"Deschamps, Charles W.",1877_01
#10351,"Dubourg, Victoria",1877_01
#10357,"Edwards, Edwin",1877_01
#1127,"Fantin-Latour, Henri",1877_01
#4472,Giorgione,1877_01
#2400,"Hals, Frans",1877_01
#8316,Rembrandt,1877_01
#10543,"Scholderer, Luise Philippine Conradine",1877_01
#6708,"Scholderer, Otto",1877_01
#10548,"Sickert, Oswald Adalbert",1877_01
#11940,"Veronese, Paolo",1877_01
#463,"Degas, Edgar",1877_02
#10336,"Deschamps, Charles W.",1877_02
#10349,"Dubourg, Charlotte",1877_02
#10351,"Dubourg, Victoria",1877_02
#10357,"Edwards, Edwin",1877_02
#10358,"Edwards, Ruth",1877_02
#1127,"Fantin-Latour, Henri",1877_02
#10368,"Fantin-Latour, Marie",1877_02
#1086,"Manet, Edouard",1877_02
#10543,"Scholderer, Luise Philippine Conradine",1877_02
#6708,"Scholderer, Otto",1877_02
#6243,"Cazin, Jean Charles",1877_03
#463,"Degas, Edgar",1877_03
#10336,"Deschamps, Charles W.",1877_03
#10351,"Dubourg, Victoria",1877_03
#10357,"Edwards, Edwin",1877_03
#10358,"Edwards, Ruth",1877_03
#1127,"Fantin-Latour, Henri",1877_03
#10543,"Scholderer, Luise Philippine Conradine",1877_03
#6708,"Scholderer, Otto",1877_03
#10548,"Sickert, Oswald Adalbert",1877_03
#2918,"Bazille, Frédéric",1877_04
#1986,"Berlioz, Hector",1877_04
#5508,"Brahms, Johannes",1877_04
#6243,"Cazin, Jean Charles",1877_04
#10314,"Colonne, Édouard",1877_04
#640,"Corot, Jean-Baptiste Camille",1877_04
#463,"Degas, Edgar",1877_04
#163,"Delacroix, Eugène",1877_04
#10349,"Dubourg, Charlotte",1877_04
#10351,"Dubourg, Victoria",1877_04
#10357,"Edwards, Edwin",1877_04
#10360,"Esch, Mlle",1877_04
#1127,"Fantin-Latour, Henri",1877_04
#1216,"Hugo, Victor",1877_04
#7427,"Ingres, Jean-Auguste-Dominique",1877_04
#10432,"Lascoux, Antoine",1877_04
#10449,"Maître, Edmond",1877_04
#1086,"Manet, Edouard",1877_04
#1063,"Millet, Jean-François",1877_04
#1078,"Monet, Claude",1877_04
#1152,"Morisot, Berthe",1877_04
#1072,"Pissarro, Camille",1877_04
#1154,"Renoir, Auguste",1877_04
#10543,"Scholderer, Luise Philippine Conradine",1877_04
#6708,"Scholderer, Otto",1877_04
#6750,"Schumann, Robert",1877_04
#558,"Sisley, Alfred",1877_04
#1238,"Wagner, Richard",1877_04
#134,"Baudelaire, Charles",1877_05
#1986,"Berlioz, Hector",1877_05
#10351,"Dubourg, Victoria",1877_05
#3673,"Duranty, Louis",1877_05
#10357,"Edwards, Edwin",1877_05
#10358,"Edwards, Ruth",1877_05
#10360,"Esch, Mlle",1877_05
#6118,Fabre,1877_05
#1127,"Fantin-Latour, Henri",1877_05
#10432,"Lascoux, Antoine",1877_05
#1267,"Legros, Alphonse",1877_05
#7081,"Poe, Edgar Allan",1877_05
#10543,"Scholderer, Luise Philippine Conradine",1877_05
#6708,"Scholderer, Otto",1877_05
#1238,"Wagner, Richard",1877_05
#134,"Baudelaire, Charles",1877_06
#10349,"Dubourg, Charlotte",1877_06
#10351,"Dubourg, Victoria",1877_06
#10357,"Edwards, Edwin",1877_06
#10358,"Edwards, Ruth",1877_06
#10360,"Esch, Mlle",1877_06
#6118,Fabre,1877_06
#1127,"Fantin-Latour, Henri",1877_06
#7081,"Poe, Edgar Allan",1877_06
#8316,Rembrandt,1877_06
#6708,"Scholderer, Otto",1877_06
#6243,"Cazin, Jean Charles",1877_07
#10317,"Cornill,",1877_07
#640,"Corot, Jean-Baptiste Camille",1877_07
#463,"Degas, Edgar",1877_07
#163,"Delacroix, Eugène",1877_07
#10336,"Deschamps, Charles W.",1877_07
#10349,"Dubourg, Charlotte",1877_07
#11949,"Dubourg, Hélène",1877_07
#11950,"Dubourg, Jean-Theodore",1877_07
#10351,"Dubourg, Victoria",1877_07
#10357,"Edwards, Edwin",1877_07
#10358,"Edwards, Ruth",1877_07
#10360,"Esch, Mlle",1877_07
#6118,Fabre,1877_07
#1127,"Fantin-Latour, Henri",1877_07
#1267,"Legros, Alphonse",1877_07
#1249,"Lhermitte, Léon",1877_07
#1063,"Millet, Jean-François",1877_07
#10543,"Scholderer, Luise Philippine Conradine",1877_07
#6708,"Scholderer, Otto",1877_07
#5445,Burne-Jones,1877_08
#6243,"Cazin, Jean Charles",1877_08
#640,"Corot, Jean-Baptiste Camille",1877_08
#10320,"Coutts-Lindsay, Sir",1877_08
#463,"Degas, Edgar",1877_08
#163,"Delacroix, Eugène",1877_08
#10357,"Edwards, Edwin",1877_08
#10358,"Edwards, Ruth",1877_08
#6118,Fabre,1877_08
#1127,"Fantin-Latour, Henri",1877_08
#1267,"Legros, Alphonse",1877_08
#11826,"Leighton, Frederick",1877_08
#1249,"Lhermitte, Léon",1877_08
#1086,"Manet, Edouard",1877_08
#1063,"Millet, Jean-François",1877_08
#10503,"Poynter, Edward James",1877_08
#6708,"Scholderer, Otto",1877_08
#1079,"Whistler, James Abbott MacNeill",1877_08
#10357,"Edwards, Edwin",1877_09
#10358,"Edwards, Ruth",1877_09
#1127,"Fantin-Latour, Henri",1877_09
#10432,"Lascoux, Antoine",1877_09
#10543,"Scholderer, Luise Philippine Conradine",1877_09
#6708,"Scholderer, Otto",1877_09
#1238,"Wagner, Richard",1877_09
#1116,"Courbet, Gustave",1878_01
#10349,"Dubourg, Charlotte",1878_01
#11949,"Dubourg, Hélène",1878_01
#11950,"Dubourg, Jean-Theodore",1878_01
#10351,"Dubourg, Victoria",1878_01
#10357,"Edwards, Edwin",1878_01
#10358,"Edwards, Ruth",1878_01
#10347,"Eiser, Otto",1878_01
#1127,"Fantin-Latour, Henri",1878_01
#10368,"Fantin-Latour, Marie",1878_01
#10432,"Lascoux, Antoine",1878_01
#1267,"Legros, Alphonse",1878_01
#10449,"Maître, Edmond",1878_01
#1086,"Manet, Edouard",1878_01
#10540,"Scholderer, Emil",1878_01
#10541,"Scholderer, Emilie",1878_01
#6708,"Scholderer, Otto",1878_01
#286,"Thoma, Hans",1878_01
#1238,"Wagner, Richard",1878_01
#1079,"Whistler, James Abbott MacNeill",1878_01
#10349,"Dubourg, Charlotte",1878_02
#11949,"Dubourg, Hélène",1878_02
#11950,"Dubourg, Jean-Theodore",1878_02
#10351,"Dubourg, Victoria",1878_02
#10357,"Edwards, Edwin",1878_02
#10358,"Edwards, Ruth",1878_02
#10347,"Eiser, Otto",1878_02
#10360,"Esch, Mlle",1878_02
#1127,"Fantin-Latour, Henri",1878_02
#10432,"Lascoux, Antoine",1878_02
#1267,"Legros, Alphonse",1878_02
#10449,"Maître, Edmond",1878_02
#1086,"Manet, Edouard",1878_02
#10543,"Scholderer, Luise Philippine Conradine",1878_02
#6708,"Scholderer, Otto",1878_02
#286,"Thoma, Hans",1878_02
#1079,"Whistler, James Abbott MacNeill",1878_02
#10349,"Dubourg, Charlotte",1878_03
#11949,"Dubourg, Hélène",1878_03
#11950,"Dubourg, Jean-Theodore",1878_03
#10357,"Edwards, Edwin",1878_03
#10358,"Edwards, Ruth",1878_03
#10360,"Esch, Mlle",1878_03
#1127,"Fantin-Latour, Henri",1878_03
#10543,"Scholderer, Luise Philippine Conradine",1878_03
#6708,"Scholderer, Otto",1878_03
#10272,"Agnew, Thomas",1878_04
#10273,"Agnew, William",1878_04
#10351,"Dubourg, Victoria",1878_04
#10357,"Edwards, Edwin",1878_04
#10358,"Edwards, Ruth",1878_04
#10360,"Esch, Mlle",1878_04
#1127,"Fantin-Latour, Henri",1878_04
#10459,"McLean, Thomas",1878_04
#10543,"Scholderer, Luise Philippine Conradine",1878_04
#6708,"Scholderer, Otto",1878_04
#10578,"Wallis, Mr.",1878_04
#5726,Cabanel,1878_05
#1609,Carolus-Duran,1878_05
#10351,"Dubourg, Victoria",1878_05
#10357,"Edwards, Edwin",1878_05
#10358,"Edwards, Ruth",1878_05
#10360,"Esch, Mlle",1878_05
#1127,"Fantin-Latour, Henri",1878_05
#1069,"Gérôme, Jean-Léon",1878_05
#1249,"Lhermitte, Léon",1878_05
#2171,Meissonier,1878_05
#10543,"Scholderer, Luise Philippine Conradine",1878_05
#6708,"Scholderer, Otto",1878_05
#10351,"Dubourg, Victoria",1878_06
#10357,"Edwards, Edwin",1878_06
#10358,"Edwards, Ruth",1878_06
#10360,"Esch, Mlle",1878_06
#1127,"Fantin-Latour, Henri",1878_06
#1267,"Legros, Alphonse",1878_06
#5917,Millais,1878_06
#10543,"Scholderer, Luise Philippine Conradine",1878_06
#6708,"Scholderer, Otto",1878_06
#1079,"Whistler, James Abbott MacNeill",1878_06
#640,"Corot, Jean-Baptiste Camille",1878_07
#1116,"Courbet, Gustave",1878_07
#2798,"Daubigny, Charles-François",1878_07
#10351,"Dubourg, Victoria",1878_07
#1136,"Dupré, Jules",1878_07
#10357,"Edwards, Edwin",1878_07
#10358,"Edwards, Ruth",1878_07
#10360,"Esch, Mlle",1878_07
#1127,"Fantin-Latour, Henri",1878_07
#10389,"Goldschmidt, Madame de",1878_07
#10408,"Henkes, Gerke",1878_07
#81,"Israels, Jozef",1878_07
#10455,"Maris, Jacob",1878_07
#1204,"Mauve, Anton",1878_07
#6338,Mesdag,1878_07
#5917,Millais,1878_07
#1063,"Millet, Jean-François",1878_07
#2021,"Rousseau, Théodore",1878_07
#6708,"Scholderer, Otto",1878_07
#7755,"Tassaert, Octave",1878_07
#5508,"Brahms, Johannes",1878_08
#6243,"Cazin, Jean Charles",1878_08
#1116,"Courbet, Gustave",1878_08
#463,"Degas, Edgar",1878_08
#10351,"Dubourg, Victoria",1878_08
#3673,"Duranty, Louis",1878_08
#10358,"Edwards, Ruth",1878_08
#10360,"Esch, Mlle",1878_08
#1127,"Fantin-Latour, Henri",1878_08
#3498,Laibl,1878_08
#1080,"Lenbach, Franz Seraph von",1878_08
#1249,"Lhermitte, Léon",1878_08
#1086,"Manet, Edouard",1878_08
#3352,"Müller, Victor",1878_08
#10541,"Scholderer, Emilie",1878_08
#10542,"Scholderer, Ida",1878_08
#10543,"Scholderer, Luise Philippine Conradine",1878_08
#6708,"Scholderer, Otto",1878_08
#6243,"Cazin, Jean Charles",1878_09
#10351,"Dubourg, Victoria",1878_09
#3673,"Duranty, Louis",1878_09
#10358,"Edwards, Ruth",1878_09
#10360,"Esch, Mlle",1878_09
#1127,"Fantin-Latour, Henri",1878_09
#1249,"Lhermitte, Léon",1878_09
#1086,"Manet, Edouard",1878_09
#10543,"Scholderer, Luise Philippine Conradine",1878_09
#6708,"Scholderer, Otto",1878_09
#6243,"Cazin, Jean Charles",1878_10
#10351,"Dubourg, Victoria",1878_10
#10360,"Esch, Mlle",1878_10
#1127,"Fantin-Latour, Henri",1878_10
#1249,"Lhermitte, Léon",1878_10
#1171,"Menzel, Adolph",1878_10
#5917,Millais,1878_10
#10543,"Scholderer, Luise Philippine Conradine",1878_10
#6708,"Scholderer, Otto",1878_10
#10351,"Dubourg, Victoria",1878_11
#10347,"Eiser, Otto",1878_11
#10360,"Esch, Mlle",1878_11
#1127,"Fantin-Latour, Henri",1878_11
#10539,"Scholderer, Adolphe",1878_11
#10540,"Scholderer, Emil",1878_11
#10541,"Scholderer, Emilie",1878_11
#10542,"Scholderer, Ida",1878_11
#10543,"Scholderer, Luise Philippine Conradine",1878_11
#6708,"Scholderer, Otto",1878_11
#6750,"Schumann, Robert",1878_11
#9825,"Barye, Antoine-Louis",1878_12
#640,"Corot, Jean-Baptiste Camille",1878_12
#1116,"Courbet, Gustave",1878_12
#2798,"Daubigny, Charles-François",1878_12
#163,"Delacroix, Eugène",1878_12
#2455,"Diaz de la Pena, Narcisse",1878_12
#10351,"Dubourg, Victoria",1878_12
#1232,"Durand-Ruel, Paul",1878_12
#10360,"Esch, Mlle",1878_12
#1127,"Fantin-Latour, Henri",1878_12
#10520,"Ricard, Louis Gustave",1878_12
#2021,"Rousseau, Théodore",1878_12
#10543,"Scholderer, Luise Philippine Conradine",1878_12
#6708,"Scholderer, Otto",1878_12
#7755,"Tassaert, Octave",1878_12
#1085,"Troyon, Constant",1878_12
#2314,"Balzac, Honoré de",1878_13
#9825,"Barye, Antoine-Louis",1878_13
#640,"Corot, Jean-Baptiste Camille",1878_13
#1116,"Courbet, Gustave",1878_13
#2798,"Daubigny, Charles-François",1878_13
#2292,Decamps,1878_13
#163,"Delacroix, Eugène",1878_13
#2455,"Diaz de la Pena, Narcisse",1878_13
#10349,"Dubourg, Charlotte",1878_13
#11949,"Dubourg, Hélène",1878_13
#11950,"Dubourg, Jean-Theodore",1878_13
#10351,"Dubourg, Victoria",1878_13
#1232,"Durand-Ruel, Paul",1878_13
#10357,"Edwards, Edwin",1878_13
#10358,"Edwards, Ruth",1878_13
#10347,"Eiser, Otto",1878_13
#10360,"Esch, Mlle",1878_13
#1127,"Fantin-Latour, Henri",1878_13
#9110,"Flaubert, Gustave",1878_13
#5434,"Memling, Hans",1878_13
#1063,"Millet, Jean-François",1878_13
#10520,"Ricard, Louis Gustave",1878_13
#2021,"Rousseau, Théodore",1878_13
#10541,"Scholderer, Emilie",1878_13
#10542,"Scholderer, Ida",1878_13
#10543,"Scholderer, Luise Philippine Conradine",1878_13
#6708,"Scholderer, Otto",1878_13
#7755,"Tassaert, Octave",1878_13
#1085,"Troyon, Constant",1878_13
#2314,"Balzac, Honoré de",1878_14
#9825,"Barye, Antoine-Louis",1878_14
#640,"Corot, Jean-Baptiste Camille",1878_14
#1116,"Courbet, Gustave",1878_14
#2798,"Daubigny, Charles-François",1878_14
#163,"Delacroix, Eugène",1878_14
#2455,"Diaz de la Pena, Narcisse",1878_14
#10351,"Dubourg, Victoria",1878_14
#1232,"Durand-Ruel, Paul",1878_14
#10357,"Edwards, Edwin",1878_14
#10358,"Edwards, Ruth",1878_14
#10347,"Eiser, Otto",1878_14
#10360,"Esch, Mlle",1878_14
#1127,"Fantin-Latour, Henri",1878_14
#9110,"Flaubert, Gustave",1878_14
#1063,"Millet, Jean-François",1878_14
#10520,"Ricard, Louis Gustave",1878_14
#2021,"Rousseau, Théodore",1878_14
#10541,"Scholderer, Emilie",1878_14
#10542,"Scholderer, Ida",1878_14
#6708,"Scholderer, Otto",1878_14
#7755,"Tassaert, Octave",1878_14
#1085,"Troyon, Constant",1878_14
#9825,"Barye, Antoine-Louis",1878_15
#640,"Corot, Jean-Baptiste Camille",1878_15
#1116,"Courbet, Gustave",1878_15
#2798,"Daubigny, Charles-François",1878_15
#163,"Delacroix, Eugène",1878_15
#2455,"Diaz de la Pena, Narcisse",1878_15
#10351,"Dubourg, Victoria",1878_15
#1232,"Durand-Ruel, Paul",1878_15
#10357,"Edwards, Edwin",1878_15
#10358,"Edwards, Ruth",1878_15
#10347,"Eiser, Otto",1878_15
#10360,"Esch, Mlle",1878_15
#1127,"Fantin-Latour, Henri",1878_15
#1313,"Huet, Paul",1878_15
#10464,"Mewburn, Francis",1878_15
#1063,"Millet, Jean-François",1878_15
#10520,"Ricard, Louis Gustave",1878_15
#2021,"Rousseau, Théodore",1878_15
#10543,"Scholderer, Luise Philippine Conradine",1878_15
#6708,"Scholderer, Otto",1878_15
#7755,"Tassaert, Octave",1878_15
#1085,"Troyon, Constant",1878_15
#10351,"Dubourg, Victoria",1878_16
#1232,"Durand-Ruel, Paul",1878_16
#10357,"Edwards, Edwin",1878_16
#10358,"Edwards, Ruth",1878_16
#10360,"Esch, Mlle",1878_16
#1127,"Fantin-Latour, Henri",1878_16
#1063,"Millet, Jean-François",1878_16
#10543,"Scholderer, Luise Philippine Conradine",1878_16
#6708,"Scholderer, Otto",1878_16
#10351,"Dubourg, Victoria",1878_17
#10357,"Edwards, Edwin",1878_17
#10360,"Esch, Mlle",1878_17
#1127,"Fantin-Latour, Henri",1878_17
#10464,"Mewburn, Francis",1878_17
#1063,"Millet, Jean-François",1878_17
#5169,Ruskin,1878_17
#10543,"Scholderer, Luise Philippine Conradine",1878_17
#6708,"Scholderer, Otto",1878_17
#4657,"Turner, Joseph Mallord William",1878_17
#1079,"Whistler, James Abbott MacNeill",1878_17
#10351,"Dubourg, Victoria",1878_18
#1127,"Fantin-Latour, Henri",1878_18
#1171,"Menzel, Adolph",1878_18
#10464,"Mewburn, Francis",1878_18
#5169,Ruskin,1878_18
#10543,"Scholderer, Luise Philippine Conradine",1878_18
#6708,"Scholderer, Otto",1878_18
#1079,"Whistler, James Abbott MacNeill",1878_18
#10351,"Dubourg, Victoria",1878_19
#10360,"Esch, Mlle",1878_19
#1127,"Fantin-Latour, Henri",1878_19
#1171,"Menzel, Adolph",1878_19
#10464,"Mewburn, Francis",1878_19
#5169,Ruskin,1878_19
#10543,"Scholderer, Luise Philippine Conradine",1878_19
#6708,"Scholderer, Otto",1878_19
#1079,"Whistler, James Abbott MacNeill",1878_19
#10347,"Eiser, Otto",1879_01
#10360,"Esch, Mlle",1879_01
#1127,"Fantin-Latour, Henri",1879_01
#10543,"Scholderer, Luise Philippine Conradine",1879_01
#6708,"Scholderer, Otto",1879_01
#1238,"Wagner, Richard",1879_01
#10351,"Dubourg, Victoria",1879_02
#10360,"Esch, Mlle",1879_02
#1127,"Fantin-Latour, Henri",1879_02
#2390,"Goethe, Johann Wolfgang von",1879_02
#1171,"Menzel, Adolph",1879_02
#10541,"Scholderer, Emilie",1879_02
#10542,"Scholderer, Ida",1879_02
#10543,"Scholderer, Luise Philippine Conradine",1879_02
#6708,"Scholderer, Otto",1879_02
#1127,"Fantin-Latour, Henri",1879_03
#1171,"Menzel, Adolph",1879_03
#6708,"Scholderer, Otto",1879_03
#1427,"Bach, Johann Sebastian",1879_04
#10283,"Becker von Worms, Jakob",1879_04
#1428,"Beethoven, Ludwig van",1879_04
#4546,"Cornelius, Peter von",1879_04
#10351,"Dubourg, Victoria",1879_04
#10347,"Eiser, Otto",1879_04
#10360,"Esch, Mlle",1879_04
#1127,"Fantin-Latour, Henri",1879_04
#1171,"Menzel, Adolph",1879_04
#10543,"Scholderer, Luise Philippine Conradine",1879_04
#6708,"Scholderer, Otto",1879_04
#6750,"Schumann, Robert",1879_04
#286,"Thoma, Hans",1879_04
#1238,"Wagner, Richard",1879_04
#1428,"Beethoven, Ludwig van",1879_05
#1986,"Berlioz, Hector",1879_05
#4546,"Cornelius, Peter von",1879_05
#10351,"Dubourg, Victoria",1879_05
#10357,"Edwards, Edwin",1879_05
#10358,"Edwards, Ruth",1879_05
#10347,"Eiser, Otto",1879_05
#10360,"Esch, Mlle",1879_05
#1127,"Fantin-Latour, Henri",1879_05
#2390,"Goethe, Johann Wolfgang von",1879_05
